zone,latitude,longitude,temperature_c,humidity_percent,precipitation_mm,cloud_cover_percent,wind_speed_kmh,wind_direction_degree,solar_radiation_wm2,hour,day,month,day_of_week,is_daytime,solar_generation_mw_per_1mw
Barishal,22.701,90.3535,18.5,85,0.0,0,6.7,344,0.0,19,2,1,1,0,0.0
Barishal,22.701,90.3535,17.9,87,0.0,0,7.3,340,0.0,20,2,1,1,0,0.0
Barishal,22.701,90.3535,17.5,87,0.0,0,7.8,338,0.0,21,2,1,1,0,0.0
Barishal,22.701,90.3535,16.9,88,0.0,0,7.4,337,0.0,22,2,1,1,0,0.0
Barishal,22.701,90.3535,16.5,89,0.0,0,7.9,336,0.0,23,2,1,1,0,0.0
Barishal,22.701,90.3535,15.9,90,0.0,0,7.4,337,0.0,0,3,1,2,0,0.0
Barishal,22.701,90.3535,15.4,90,0.0,0,7.0,339,0.0,1,3,1,2,0,0.0
Barishal,22.701,90.3535,15.2,91,0.0,0,7.0,339,0.0,2,3,1,2,0,0.0
Barishal,22.701,90.3535,15.1,92,0.0,0,8.4,340,0.0,3,3,1,2,0,0.0
Barishal,22.701,90.3535,14.9,93,0.0,0,8.8,341,0.0,4,3,1,2,0,0.0
Barishal,22.701,90.3535,14.6,94,0.0,0,8.6,345,0.0,5,3,1,2,0,0.0
Barishal,22.701,90.3535,14.5,94,0.0,0,8.1,347,0.0,6,3,1,2,0,0.0
Barishal,22.701,90.3535,14.9,96,0.0,0,7.9,3,3.0,7,3,1,2,1,0.047107
Barishal,22.701,90.3535,16.2,93,0.0,0,9.4,2,94.0,8,3,1,2,1,0.12903
Barishal,22.701,90.3535,18.1,88,0.0,0,8.4,7,268.0,9,3,1,2,1,0.233223
Barishal,22.701,90.3535,20.0,82,0.0,0,9.1,7,440.0,10,3,1,2,1,0.39441699999999996
Barishal,22.701,90.3535,21.7,73,0.0,0,10.2,8,570.0,11,3,1,2,1,0.5286745
Barishal,22.701,90.3535,22.8,67,0.0,0,9.1,9,643.0,12,3,1,2,1,0.563057
Barishal,22.701,90.3535,23.5,62,0.0,0,8.3,2,647.0,13,3,1,2,1,0.517293
Barishal,22.701,90.3535,23.9,58,0.0,0,6.9,354,583.0,14,3,1,2,1,0.404532
Barishal,22.701,90.3535,23.8,58,0.0,0,5.9,346,458.0,15,3,1,2,1,0.2524925
Barishal,22.701,90.3535,23.4,61,0.0,0,5.8,330,288.0,16,3,1,2,1,0.09320250000000001
Barishal,22.701,90.3535,20.8,82,0.0,0,6.5,289,109.0,17,3,1,2,1,0.0041905
Barishal,22.701,90.3535,18.3,86,0.0,0,8.2,285,6.0,18,3,1,2,1,0.0
Barishal,22.701,90.3535,17.6,89,0.0,0,6.8,342,0.0,19,3,1,2,0,0.0
Barishal,22.701,90.3535,17.3,89,0.0,0,6.8,335,0.0,20,3,1,2,0,0.0
Barishal,22.701,90.3535,17.2,89,0.0,0,7.2,333,0.0,21,3,1,2,0,0.0
Barishal,22.701,90.3535,16.1,92,0.0,0,7.2,333,0.0,22,3,1,2,0,0.0
Barishal,22.701,90.3535,16.1,91,0.0,0,7.3,340,0.0,23,3,1,2,0,0.0
Barishal,22.701,90.3535,16.1,91,0.0,0,7.5,343,0.0,0,4,1,3,0,0.0
Barishal,22.701,90.3535,15.6,92,0.0,0,6.6,347,0.0,1,4,1,3,0,0.0
Barishal,22.701,90.3535,15.5,92,0.0,0,7.0,348,0.0,2,4,1,3,0,0.0
Barishal,22.701,90.3535,15.3,93,0.0,0,7.0,348,0.0,3,4,1,3,0,0.0
Barishal,22.701,90.3535,15.4,93,0.0,0,7.6,352,0.0,4,4,1,3,0,0.0
Barishal,22.701,90.3535,15.0,94,0.0,0,6.5,354,0.0,5,4,1,3,0,0.0
Barishal,22.701,90.3535,13.7,96,0.0,0,8.3,355,0.0,6,4,1,3,0,0.0
Barishal,22.701,90.3535,15.6,96,0.0,1,7.6,357,3.0,7,4,1,3,1,0.06940249999999999
Barishal,22.701,90.3535,17.0,91,0.0,1,10.1,358,93.0,8,4,1,3,1,0.18609050000000002
Barishal,22.701,90.3535,18.7,88,0.0,0,7.9,3,265.0,9,4,1,3,1,0.33188249999999997
Barishal,22.701,90.3535,20.5,81,0.0,0,9.4,4,439.0,10,4,1,3,1,0.497743
Barishal,22.701,90.3535,21.9,72,0.0,0,9.4,4,567.0,11,4,1,3,1,0.5726195
Barishal,22.701,90.3535,22.8,67,0.0,0,8.6,358,638.0,12,4,1,3,1,0.572985
Barishal,22.701,90.3535,23.5,64,0.0,0,8.0,355,642.0,13,4,1,3,1,0.5080025
Barishal,22.701,90.3535,23.9,61,0.0,0,8.0,350,578.0,14,4,1,3,1,0.390473
Barishal,22.701,90.3535,23.9,59,0.0,0,7.4,346,454.0,15,4,1,3,1,0.23771950000000003
Barishal,22.701,90.3535,23.4,60,0.0,0,7.0,348,285.0,16,4,1,3,1,0.087312
Barishal,22.701,90.3535,21.7,73,0.0,0,5.2,348,109.0,17,4,1,3,1,0.004037499999999999
Barishal,22.701,90.3535,21.8,67,0.0,0,4.8,318,6.0,18,4,1,3,1,0.0
Barishal,22.701,90.3535,18.2,83,0.0,0,8.2,345,0.0,19,4,1,3,0,0.0
Barishal,22.701,90.3535,17.2,86,0.0,0,8.7,330,0.0,20,4,1,3,0,0.0
Barishal,22.701,90.3535,17.3,84,0.0,0,8.1,339,0.0,21,4,1,3,0,0.0
Barishal,22.701,90.3535,18.2,81,0.0,0,7.1,345,0.0,22,4,1,3,0,0.0
Barishal,22.701,90.3535,17.4,85,0.0,0,7.2,342,0.0,23,4,1,3,0,0.0
Barishal,22.701,90.3535,15.3,92,0.0,0,9.3,347,0.0,0,5,1,4,0,0.0
Barishal,22.701,90.3535,14.9,95,0.0,0,8.7,353,0.0,1,5,1,4,0,0.0
Barishal,22.701,90.3535,15.5,95,0.0,0,6.8,357,0.0,2,5,1,4,0,0.0
Barishal,22.701,90.3535,15.9,94,0.0,0,7.9,3,0.0,3,5,1,4,0,0.0
Barishal,22.701,90.3535,15.6,93,0.0,0,7.6,8,0.0,4,5,1,4,0,0.0
Barishal,22.701,90.3535,15.4,93,0.0,0,7.3,11,0.0,5,5,1,4,0,0.0
Barishal,22.701,90.3535,15.3,94,0.0,0,7.4,14,0.0,6,5,1,4,0,0.0
Barishal,22.701,90.3535,15.7,96,0.0,8,7.4,23,3.0,7,5,1,4,1,0.0620075
Barishal,22.701,90.3535,17.1,92,0.0,3,8.9,27,88.0,8,5,1,4,1,0.19222750000000002
Barishal,22.701,90.3535,18.7,87,0.0,2,6.8,25,259.0,9,5,1,4,1,0.33940499999999996
Barishal,22.701,90.3535,20.5,80,0.0,0,8.7,24,432.0,10,5,1,4,1,0.46348799999999996
Barishal,22.701,90.3535,22.2,71,0.0,0,11.1,25,564.0,11,5,1,4,1,0.5505450000000001
Barishal,22.701,90.3535,23.3,65,0.0,0,11.0,19,638.0,12,5,1,4,1,0.554268
Barishal,22.701,90.3535,24.0,62,0.0,0,10.3,12,644.0,13,5,1,4,1,0.4976069999999999
Barishal,22.701,90.3535,24.5,57,0.0,0,10.5,4,580.0,14,5,1,4,1,0.387073
Barishal,22.701,90.3535,24.4,56,0.0,0,10.1,356,458.0,15,5,1,4,1,0.238833
Barishal,22.701,90.3535,23.8,59,0.0,0,8.3,342,291.0,16,5,1,4,1,0.0866575
Barishal,22.701,90.3535,21.3,71,0.0,0,6.1,332,113.0,17,5,1,4,1,0.0043095
Barishal,22.701,90.3535,19.2,75,0.0,0,7.9,336,7.0,18,5,1,4,1,0.0
Barishal,22.701,90.3535,18.4,83,0.0,0,7.4,346,0.0,19,5,1,4,0,0.0
Barishal,22.701,90.3535,17.5,87,0.0,0,7.8,347,0.0,20,5,1,4,0,0.0
Barishal,22.701,90.3535,16.4,91,0.0,0,9.2,339,0.0,21,5,1,4,0,0.0
Barishal,22.701,90.3535,15.7,93,0.0,1,9.7,338,0.0,22,5,1,4,0,0.0
Barishal,22.701,90.3535,15.5,93,0.0,0,9.2,339,0.0,23,5,1,4,0,0.0
Barishal,22.701,90.3535,15.5,93,0.0,0,7.9,336,0.0,0,6,1,5,0,0.0
Barishal,22.701,90.3535,15.6,92,0.0,0,7.0,348,0.0,1,6,1,5,0,0.0
Barishal,22.701,90.3535,15.3,92,0.0,0,6.8,357,0.0,2,6,1,5,0,0.0
Barishal,22.701,90.3535,15.3,91,0.0,0,7.2,360,0.0,3,6,1,5,0,0.0
Barishal,22.701,90.3535,15.0,92,0.0,0,6.8,3,0.0,4,6,1,5,0,0.0
Barishal,22.701,90.3535,14.8,93,0.0,0,6.8,3,0.0,5,6,1,5,0,0.0
Barishal,22.701,90.3535,14.4,94,0.0,0,6.9,6,0.0,6,6,1,5,0,0.0
Barishal,22.701,90.3535,15.2,95,0.0,0,6.2,21,3.0,7,6,1,5,1,0.055862
Barishal,22.701,90.3535,17.6,88,0.0,0,8.0,27,90.0,8,6,1,5,1,0.17493
Barishal,22.701,90.3535,19.4,82,0.0,0,6.6,22,261.0,9,6,1,5,1,0.32278749999999995
Barishal,22.701,90.3535,21.2,75,0.0,58,7.9,24,431.0,10,6,1,5,1,0.42665749999999997
Barishal,22.701,90.3535,22.7,67,0.0,53,9.6,20,561.0,11,6,1,5,1,0.5277054999999999
Barishal,22.701,90.3535,23.7,63,0.0,69,10.9,6,632.0,12,6,1,5,1,0.5238975
Barishal,22.701,90.3535,24.5,60,0.0,85,9.8,354,635.0,13,6,1,5,1,0.4712995
Barishal,22.701,90.3535,24.9,55,0.0,91,10.8,345,571.0,14,6,1,5,1,0.35797749999999995
Barishal,22.701,90.3535,24.8,54,0.0,94,10.6,342,447.0,15,6,1,5,1,0.2131545
Barishal,22.701,90.3535,24.2,60,0.0,93,8.3,342,282.0,16,6,1,5,1,0.07516550000000001
Barishal,22.701,90.3535,21.9,74,0.0,89,5.6,345,109.0,17,6,1,5,1,0.003927
Barishal,22.701,90.3535,19.6,80,0.0,82,7.9,344,7.0,18,6,1,5,1,0.0
Barishal,22.701,90.3535,19.0,81,0.0,79,7.6,360,0.0,19,6,1,5,0,0.0
Barishal,22.701,90.3535,18.1,83,0.0,56,8.6,360,0.0,20,6,1,5,0,0.0
Barishal,22.701,90.3535,17.5,85,0.0,82,9.0,360,0.0,21,6,1,5,0,0.0
Barishal,22.701,90.3535,17.2,86,0.0,37,8.7,353,0.0,22,6,1,5,0,0.0
Barishal,22.701,90.3535,17.1,85,0.0,34,8.0,352,0.0,23,6,1,5,0,0.0
Barishal,22.701,90.3535,16.9,86,0.0,8,7.0,348,0.0,0,7,1,6,0,0.0
Barishal,22.701,90.3535,16.7,87,0.0,17,7.0,339,0.0,1,7,1,6,0,0.0
Barishal,22.701,90.3535,16.6,87,0.0,0,7.9,344,0.0,2,7,1,6,0,0.0
Barishal,22.701,90.3535,16.4,88,0.0,0,8.7,343,0.0,3,7,1,6,0,0.0
Barishal,22.701,90.3535,16.0,89,0.0,0,8.3,342,0.0,4,7,1,6,0,0.0
Barishal,22.701,90.3535,15.7,90,0.0,0,7.1,345,0.0,5,7,1,6,0,0.0
Barishal,22.701,90.3535,15.5,90,0.0,0,7.0,348,0.0,6,7,1,6,0,0.0
Barishal,22.701,90.3535,15.7,92,0.0,0,8.0,355,3.0,7,7,1,6,1,0.053295
Barishal,22.701,90.3535,17.3,87,0.0,0,9.7,360,88.0,8,7,1,6,1,0.15645949999999997
Barishal,22.701,90.3535,19.2,82,0.0,0,9.0,5,256.0,9,7,1,6,1,0.271048
Barishal,22.701,90.3535,21.2,76,0.0,0,10.8,4,424.0,10,7,1,6,1,0.366452
Barishal,22.701,90.3535,22.9,67,0.0,0,12.2,2,554.0,11,7,1,6,1,0.5397755
Barishal,22.701,90.3535,24.0,61,0.0,0,13.3,358,626.0,12,7,1,6,1,0.5462269999999999
Barishal,22.701,90.3535,24.7,56,0.0,0,13.7,355,633.0,13,7,1,6,1,0.4924305
Barishal,22.701,90.3535,24.9,53,0.0,0,13.4,354,573.0,14,7,1,6,1,0.382585
Barishal,22.701,90.3535,24.8,52,0.0,0,12.4,352,452.0,15,7,1,6,1,0.2376175
Barishal,22.701,90.3535,24.1,58,0.0,0,10.0,347,287.0,16,7,1,6,1,0.089845
Barishal,22.701,90.3535,22.1,67,0.0,0,7.1,345,112.0,17,7,1,6,1,0.004777
Barishal,22.701,90.3535,19.7,76,0.0,0,7.1,345,7.0,18,7,1,6,1,0.0
Barishal,22.701,90.3535,19.4,76,0.0,0,7.8,338,0.0,19,7,1,6,0,0.0
Barishal,22.701,90.3535,18.7,78,0.0,0,8.2,337,0.0,20,7,1,6,0,0.0
Barishal,22.701,90.3535,18.0,80,0.0,1,7.8,338,0.0,21,7,1,6,0,0.0
Barishal,22.701,90.3535,17.3,83,0.0,0,7.3,340,0.0,22,7,1,6,0,0.0
Barishal,22.701,90.3535,17.0,85,0.0,0,7.4,346,0.0,23,7,1,6,0,0.0
Barishal,22.701,90.3535,16.7,86,0.0,0,7.7,349,0.0,0,8,1,0,0,0.0
Barishal,22.701,90.3535,16.5,87,0.0,0,7.6,355,0.0,1,8,1,0,0,0.0
Barishal,22.701,90.3535,16.3,88,0.0,0,7.6,355,0.0,2,8,1,0,0,0.0
Barishal,22.701,90.3535,16.0,89,0.0,0,8.0,350,0.0,3,8,1,0,0,0.0
Barishal,22.701,90.3535,15.8,90,0.0,0,8.0,350,0.0,4,8,1,0,0,0.0
Barishal,22.701,90.3535,15.6,91,0.0,0,8.0,350,0.0,5,8,1,0,0,0.0
Barishal,22.701,90.3535,15.4,93,0.0,0,8.0,350,0.0,6,8,1,0,0,0.0
Barishal,22.701,90.3535,15.5,93,0.0,0,10.0,347,3.0,7,8,1,0,1,0.0726155
Barishal,22.701,90.3535,16.8,91,0.0,0,10.7,348,89.0,8,8,1,0,1,0.20417
Barishal,22.701,90.3535,18.7,86,0.0,0,10.5,352,260.0,9,8,1,0,1,0.332792
Barishal,22.701,90.3535,20.9,80,0.0,0,12.3,355,433.0,10,8,1,0,1,0.43500449999999996
Barishal,22.701,90.3535,22.6,72,0.0,0,13.7,357,565.0,11,8,1,0,1,0.5448245
Barishal,22.701,90.3535,23.7,66,0.0,0,14.1,356,638.0,12,8,1,0,1,0.54502
Barishal,22.701,90.3535,24.4,61,0.0,0,13.7,357,644.0,13,8,1,0,1,0.48489950000000004
Barishal,22.701,90.3535,24.9,58,0.0,0,12.3,355,582.0,14,8,1,0,1,0.3731075
Barishal,22.701,90.3535,24.8,57,0.0,0,11.6,353,458.0,15,8,1,0,1,0.22856499999999996
Barishal,22.701,90.3535,24.3,61,0.0,0,9.5,351,290.0,16,8,1,0,1,0.08721
Barishal,22.701,90.3535,21.9,77,0.0,0,5.9,346,114.0,17,8,1,0,1,0.0048874999999999995
Barishal,22.701,90.3535,19.4,83,0.0,0,9.4,353,8.0,18,8,1,0,1,0.0
Barishal,22.701,90.3535,19.7,81,0.0,0,7.9,344,0.0,19,8,1,0,0,0.0
Barishal,22.701,90.3535,19.2,83,0.0,0,8.2,337,0.0,20,8,1,0,0,0.0
Barishal,22.701,90.3535,18.5,86,0.0,0,7.5,343,0.0,21,8,1,0,0,0.0
Barishal,22.701,90.3535,18.0,88,0.0,0,7.8,347,0.0,22,8,1,0,0,0.0
Barishal,22.701,90.3535,17.7,88,0.0,0,7.8,347,0.0,23,8,1,0,0,0.0
Barishal,22.701,90.3535,17.4,89,0.0,0,8.2,345,0.0,0,9,1,1,0,0.0
Barishal,22.701,90.3535,17.0,90,0.0,0,9.6,340,0.0,1,9,1,1,0,0.0
Barishal,22.701,90.3535,16.7,91,0.0,0,9.4,342,0.0,2,9,1,1,0,0.0
Barishal,22.701,90.3535,16.3,91,0.0,0,8.4,350,0.0,3,9,1,1,0,0.0
Barishal,22.701,90.3535,15.9,92,0.0,0,7.9,357,0.0,4,9,1,1,0,0.0
Barishal,22.701,90.3535,15.5,92,0.0,0,7.2,354,0.0,5,9,1,1,0,0.0
Barishal,22.701,90.3535,15.1,93,0.0,0,7.1,345,0.0,6,9,1,1,0,0.0
Barishal,22.701,90.3535,15.4,96,0.0,0,8.8,351,3.0,7,9,1,1,1,0.0619225
Barishal,22.701,90.3535,16.5,92,0.0,0,9.8,352,90.0,8,9,1,1,1,0.1706375
Barishal,22.701,90.3535,18.2,86,0.0,0,9.2,349,263.0,9,9,1,1,1,0.284852
Barishal,22.701,90.3535,20.0,79,0.0,0,10.7,348,438.0,10,9,1,1,1,0.4217955
Barishal,22.701,90.3535,21.6,71,0.0,0,12.3,353,573.0,11,9,1,1,1,0.5553305000000001
Barishal,22.701,90.3535,22.6,65,0.0,0,11.6,355,651.0,12,9,1,1,1,0.559827
Barishal,22.701,90.3535,23.3,60,0.0,0,10.6,350,659.0,13,9,1,1,1,0.49845699999999993
Barishal,22.701,90.3535,23.8,57,0.0,0,9.8,343,596.0,14,9,1,1,1,0.385475
Barishal,22.701,90.3535,23.8,56,0.0,0,9.5,335,471.0,15,9,1,1,1,0.234957
Barishal,22.701,90.3535,23.4,59,0.0,0,8.7,330,300.0,16,9,1,1,1,0.092463
Barishal,22.701,90.3535,21.1,75,0.0,1,5.2,326,119.0,17,9,1,1,1,0.005372
Barishal,22.701,90.3535,18.3,85,0.0,0,8.6,338,8.0,18,9,1,1,1,0.0
Barishal,22.701,90.3535,17.6,87,0.0,0,7.1,336,0.0,19,9,1,1,0,0.0
Barishal,22.701,90.3535,17.1,88,0.0,0,7.8,338,0.0,20,9,1,1,0,0.0
Barishal,22.701,90.3535,16.6,88,0.0,0,7.4,337,0.0,21,9,1,1,0,0.0
Barishal,22.701,90.3535,16.0,89,0.0,0,7.2,333,0.0,22,9,1,1,0,0.0
Barishal,22.701,90.3535,15.5,90,0.0,0,7.1,330,0.0,23,9,1,1,0,0.0
Barishal,22.701,90.3535,14.9,91,0.0,0,6.8,335,0.0,0,10,1,2,0,0.0
Barishal,22.701,90.3535,14.5,92,0.0,0,6.8,335,0.0,1,10,1,2,0,0.0
Barishal,22.701,90.3535,14.7,91,0.0,0,7.3,340,0.0,2,10,1,2,0,0.0
Barishal,22.701,90.3535,14.4,92,0.0,0,6.9,351,0.0,3,10,1,2,0,0.0
Barishal,22.701,90.3535,14.0,93,0.0,0,6.6,351,0.0,4,10,1,2,0,0.0
Barishal,22.701,90.3535,13.6,94,0.0,0,7.0,348,0.0,5,10,1,2,0,0.0
Barishal,22.701,90.3535,13.4,96,0.0,1,6.9,354,0.0,6,10,1,2,0,0.0
Barishal,22.701,90.3535,13.8,98,0.0,8,5.9,11,3.0,7,10,1,2,1,0.0683995
Barishal,22.701,90.3535,16.0,95,0.0,30,7.1,15,86.0,8,10,1,2,1,0.1982625
Barishal,22.701,90.3535,17.6,90,0.0,16,5.9,11,245.0,9,10,1,2,1,0.343468
Barishal,22.701,90.3535,19.4,81,0.0,0,7.2,18,426.0,10,10,1,2,1,0.477462
Barishal,22.701,90.3535,21.0,69,0.0,0,8.6,15,560.0,11,10,1,2,1,0.548573
Barishal,22.701,90.3535,22.2,63,0.0,0,8.3,360,636.0,12,10,1,2,1,0.548488
Barishal,22.701,90.3535,23.0,59,0.0,0,8.0,352,643.0,13,10,1,2,1,0.4836924999999999
Barishal,22.701,90.3535,23.5,58,0.0,0,7.0,339,582.0,14,10,1,2,1,0.3708295
Barishal,22.701,90.3535,23.7,57,0.0,0,6.0,327,459.0,15,10,1,2,1,0.224723
Barishal,22.701,90.3535,23.5,59,0.0,0,4.6,315,293.0,16,10,1,2,1,0.08347
Barishal,22.701,90.3535,22.1,72,0.0,0,4.0,260,117.0,17,10,1,2,1,0.005125500000000001
Barishal,22.701,90.3535,20.6,72,0.0,0,5.6,255,8.0,18,10,1,2,1,0.0
Barishal,22.701,90.3535,18.0,86,0.0,0,7.8,347,0.0,19,10,1,2,0,0.0
Barishal,22.701,90.3535,17.1,90,0.0,15,8.8,351,0.0,20,10,1,2,0,0.0
Barishal,22.701,90.3535,16.4,92,0.0,41,9.4,2,0.0,21,10,1,2,0,0.0
Barishal,22.701,90.3535,17.3,90,0.0,20,7.0,12,0.0,22,10,1,2,0,0.0
Barishal,22.701,90.3535,17.0,90,0.0,10,6.9,9,0.0,23,10,1,2,0,0.0
Barishal,22.701,90.3535,16.5,91,0.0,4,6.5,3,0.0,0,11,1,3,0,0.0
Barishal,22.701,90.3535,16.0,91,0.0,5,6.1,360,0.0,1,11,1,3,0,0.0
Barishal,22.701,90.3535,15.8,91,0.0,5,6.2,10,0.0,2,11,1,3,0,0.0
Barishal,22.701,90.3535,15.8,92,0.0,0,6.5,19,0.0,3,11,1,3,0,0.0
Barishal,22.701,90.3535,15.7,93,0.0,0,6.4,27,0.0,4,11,1,3,0,0.0
Barishal,22.701,90.3535,15.3,94,0.0,0,6.2,36,0.0,5,11,1,3,0,0.0
Barishal,22.701,90.3535,14.9,95,0.0,0,7.4,39,0.0,6,11,1,3,0,0.0
Barishal,22.701,90.3535,15.4,96,0.0,0,5.3,28,2.0,7,11,1,3,1,0.0573495
Barishal,22.701,90.3535,17.0,92,0.0,0,7.4,23,85.0,8,11,1,3,1,0.16930299999999998
Barishal,22.701,90.3535,18.6,86,0.0,0,7.6,19,251.0,9,11,1,3,1,0.30727499999999996
Barishal,22.701,90.3535,20.1,79,0.0,0,8.2,15,420.0,10,11,1,3,1,0.4194325
Barishal,22.701,90.3535,21.6,72,0.0,0,8.8,12,553.0,11,11,1,3,1,0.43732499999999996
Barishal,22.701,90.3535,22.7,67,0.0,0,9.7,360,629.0,12,11,1,3,1,0.4259945
Barishal,22.701,90.3535,23.6,62,0.0,9,10.6,350,638.0,13,11,1,3,1,0.38602749999999997
Barishal,22.701,90.3535,23.9,60,0.0,4,10.9,343,578.0,14,11,1,3,1,0.278698
Barishal,22.701,90.3535,23.8,58,0.0,2,10.2,337,461.0,15,11,1,3,1,0.17894200000000002
Barishal,22.701,90.3535,23.4,57,0.0,0,9.7,329,300.0,16,11,1,3,1,0.0690625
Barishal,22.701,90.3535,21.1,70,0.0,0,5.6,333,123.0,17,11,1,3,1,0.004913
Barishal,22.701,90.3535,18.0,83,0.0,0,8.0,342,10.0,18,11,1,3,1,0.0
Barishal,22.701,90.3535,18.2,83,0.0,0,8.6,360,0.0,19,11,1,3,0,0.0
Barishal,22.701,90.3535,17.4,83,0.0,0,9.0,360,0.0,20,11,1,3,0,0.0
Barishal,22.701,90.3535,16.6,86,0.0,0,8.4,353,0.0,21,11,1,3,0,0.0
Barishal,22.701,90.3535,16.0,89,0.0,0,8.4,350,0.0,22,11,1,3,0,0.0
Barishal,22.701,90.3535,15.6,90,0.0,0,8.4,353,0.0,23,11,1,3,0,0.0
Barishal,22.701,90.3535,15.1,91,0.0,0,7.7,349,0.0,0,12,1,4,0,0.0
Barishal,22.701,90.3535,14.6,91,0.0,0,7.0,348,0.0,1,12,1,4,0,0.0
Barishal,22.701,90.3535,14.3,91,0.0,0,7.2,342,0.0,2,12,1,4,0,0.0
Barishal,22.701,90.3535,14.1,92,0.0,0,8.0,342,0.0,3,12,1,4,0,0.0
Barishal,22.701,90.3535,13.8,93,0.0,0,8.3,342,0.0,4,12,1,4,0,0.0
