zone,latitude,longitude,timestamp,wind_speed_100m_kmh,wind_direction_100m_degree,temperature_c,pressure_msl_hpa
Dhaka,23.8103,90.4125,2024-01-05T10:00,10.0,21,20.8,1019.0
Dhaka,23.8103,90.4125,2024-01-05T11:00,12.4,22,22.4,1017.9
Dhaka,23.8103,90.4125,2024-01-05T12:00,12.2,19,23.5,1016.5
Dhaka,23.8103,90.4125,2024-01-05T13:00,11.4,13,24.2,1015.1
Dhaka,23.8103,90.4125,2024-01-05T14:00,10.1,6,24.6,1014.2
Dhaka,23.8103,90.4125,2024-01-05T15:00,8.6,360,24.6,1013.5
Dhaka,23.8103,90.4125,2024-01-05T16:00,5.9,349,24.1,1013.6
Dhaka,23.8103,90.4125,2024-01-05T17:00,5.4,340,23.7,1014.0
Dhaka,23.8103,90.4125,2024-01-05T18:00,7.1,336,21.0,1014.7
Dhaka,23.8103,90.4125,2024-01-05T19:00,6.4,317,18.7,1015.6
Dhaka,23.8103,90.4125,2024-01-05T20:00,8.2,322,16.4,1016.3
Dhaka,23.8103,90.4125,2024-01-05T21:00,11.4,325,15.6,1016.7
Dhaka,23.8103,90.4125,2024-01-05T22:00,15.5,335,15.3,1016.9
Dhaka,23.8103,90.4125,2024-01-05T23:00,17.8,342,15.1,1016.8
Dhaka,23.8103,90.4125,2024-01-06T00:00,17.8,342,14.6,1016.7
Dhaka,23.8103,90.4125,2024-01-06T01:00,16.1,340,13.9,1016.4
Dhaka,23.8103,90.4125,2024-01-06T02:00,17.3,337,13.7,1016.2
Dhaka,23.8103,90.4125,2024-01-06T03:00,17.8,339,13.4,1015.9
Dhaka,23.8103,90.4125,2024-01-06T04:00,17.0,339,13.1,1015.7
Dhaka,23.8103,90.4125,2024-01-06T05:00,16.1,336,12.7,1015.8
Dhaka,23.8103,90.4125,2024-01-06T06:00,13.5,344,12.7,1016.1
Dhaka,23.8103,90.4125,2024-01-06T07:00,6.9,354,15.0,1017.2
Dhaka,23.8103,90.4125,2024-01-06T08:00,8.0,355,16.1,1018.3
Dhaka,23.8103,90.4125,2024-01-06T09:00,9.7,360,18.8,1018.6
Dhaka,23.8103,90.4125,2024-01-06T10:00,9.3,347,21.2,1018.6
Dhaka,23.8103,90.4125,2024-01-06T11:00,10.9,343,22.9,1017.6
Dhaka,23.8103,90.4125,2024-01-06T12:00,10.6,342,24.0,1016.1
Dhaka,23.8103,90.4125,2024-01-06T13:00,11.6,330,24.6,1014.8
Dhaka,23.8103,90.4125,2024-01-06T14:00,10.8,323,25.0,1013.8
Dhaka,23.8103,90.4125,2024-01-06T15:00,12.5,314,25.0,1013.7
Dhaka,23.8103,90.4125,2024-01-06T16:00,14.0,316,24.3,1013.7
Dhaka,23.8103,90.4125,2024-01-06T17:00,15.0,314,21.8,1014.1
Dhaka,23.8103,90.4125,2024-01-06T18:00,19.5,309,19.9,1015.0
Dhaka,23.8103,90.4125,2024-01-06T19:00,14.1,310,17.9,1016.1
Dhaka,23.8103,90.4125,2024-01-06T20:00,13.0,312,17.2,1016.7
Dhaka,23.8103,90.4125,2024-01-06T21:00,15.6,320,16.8,1017.2
Dhaka,23.8103,90.4125,2024-01-06T22:00,18.4,325,16.5,1017.4
Dhaka,23.8103,90.4125,2024-01-06T23:00,17.8,339,15.9,1017.3
Dhaka,23.8103,90.4125,2024-01-07T00:00,18.0,344,15.4,1017.3
Dhaka,23.8103,90.4125,2024-01-07T01:00,18.3,344,15.2,1016.9
Dhaka,23.8103,90.4125,2024-01-07T02:00,17.7,348,14.9,1016.6
Dhaka,23.8103,90.4125,2024-01-07T03:00,17.1,345,14.7,1016.5
Dhaka,23.8103,90.4125,2024-01-07T04:00,18.5,347,14.7,1016.3
Dhaka,23.8103,90.4125,2024-01-07T05:00,20.0,346,14.7,1016.4
Dhaka,23.8103,90.4125,2024-01-07T06:00,19.4,345,14.3,1017.0
Dhaka,23.8103,90.4125,2024-01-07T07:00,18.3,340,14.3,1018.3
Dhaka,23.8103,90.4125,2024-01-07T08:00,20.3,347,16.0,1019.0
Dhaka,23.8103,90.4125,2024-01-07T09:00,20.3,348,18.2,1019.9
Dhaka,23.8103,90.4125,2024-01-07T10:00,11.9,355,19.8,1020.0
Dhaka,23.8103,90.4125,2024-01-07T11:00,11.2,356,22.3,1019.0
Dhaka,23.8103,90.4125,2024-01-07T12:00,10.0,347,23.7,1017.9
Dhaka,23.8103,90.4125,2024-01-07T13:00,9.2,339,24.6,1016.7
Dhaka,23.8103,90.4125,2024-01-07T14:00,10.0,334,25.0,1015.5
Dhaka,23.8103,90.4125,2024-01-07T15:00,10.7,327,25.0,1014.7
Dhaka,23.8103,90.4125,2024-01-07T16:00,12.1,323,24.4,1014.7
Dhaka,23.8103,90.4125,2024-01-07T17:00,12.7,315,21.5,1014.9
Dhaka,23.8103,90.4125,2024-01-07T18:00,16.4,308,19.2,1015.4
Dhaka,23.8103,90.4125,2024-01-07T19:00,18.9,312,18.6,1016.3
Dhaka,23.8103,90.4125,2024-01-07T20:00,19.2,322,17.5,1016.6
Dhaka,23.8103,90.4125,2024-01-07T21:00,19.5,330,16.8,1017.1
Dhaka,23.8103,90.4125,2024-01-07T22:00,20.8,334,16.5,1017.2
Dhaka,23.8103,90.4125,2024-01-07T23:00,22.9,336,16.3,1017.2
Dhaka,23.8103,90.4125,2024-01-08T00:00,23.0,340,15.8,1017.0
Dhaka,23.8103,90.4125,2024-01-08T01:00,23.2,341,15.5,1016.7
Dhaka,23.8103,90.4125,2024-01-08T02:00,23.7,340,15.5,1016.3
Dhaka,23.8103,90.4125,2024-01-08T03:00,23.3,340,15.5,1016.4
Dhaka,23.8103,90.4125,2024-01-08T04:00,22.5,338,15.3,1016.5
Dhaka,23.8103,90.4125,2024-01-08T05:00,21.3,336,15.1,1016.7
Dhaka,23.8103,90.4125,2024-01-08T06:00,19.3,333,14.7,1017.5
Dhaka,23.8103,90.4125,2024-01-08T07:00,18.0,334,14.8,1018.7
Dhaka,23.8103,90.4125,2024-01-08T08:00,18.2,335,16.4,1019.6
Dhaka,23.8103,90.4125,2024-01-08T09:00,12.6,336,18.4,1020.3
Dhaka,23.8103,90.4125,2024-01-08T10:00,12.0,339,20.5,1020.3
Dhaka,23.8103,90.4125,2024-01-08T11:00,14.0,337,22.3,1019.4
Dhaka,23.8103,90.4125,2024-01-08T12:00,13.4,336,23.5,1018.0
Dhaka,23.8103,90.4125,2024-01-08T13:00,12.6,329,24.4,1016.5
Dhaka,23.8103,90.4125,2024-01-08T14:00,11.3,323,24.8,1015.4
Dhaka,23.8103,90.4125,2024-01-08T15:00,10.9,316,24.8,1015.0
Dhaka,23.8103,90.4125,2024-01-08T16:00,11.5,311,24.3,1014.7
Dhaka,23.8103,90.4125,2024-01-08T17:00,13.6,307,21.8,1014.8
Dhaka,23.8103,90.4125,2024-01-08T18:00,17.5,302,19.6,1015.4
Dhaka,23.8103,90.4125,2024-01-08T19:00,17.7,321,18.4,1016.6
Dhaka,23.8103,90.4125,2024-01-08T20:00,16.9,326,17.5,1017.1
Dhaka,23.8103,90.4125,2024-01-08T21:00,15.8,330,16.7,1017.6
Dhaka,23.8103,90.4125,2024-01-08T22:00,17.5,328,16.5,1017.9
Dhaka,23.8103,90.4125,2024-01-08T23:00,19.7,332,16.3,1017.7
Dhaka,23.8103,90.4125,2024-01-09T00:00,21.1,335,16.0,1017.2
Dhaka,23.8103,90.4125,2024-01-09T01:00,20.8,334,15.5,1017.0
Dhaka,23.8103,90.4125,2024-01-09T02:00,20.5,332,15.0,1016.6
Dhaka,23.8103,90.4125,2024-01-09T03:00,20.1,327,14.6,1016.3
Dhaka,23.8103,90.4125,2024-01-09T04:00,20.2,329,14.2,1016.0
Dhaka,23.8103,90.4125,2024-01-09T05:00,19.8,331,13.8,1016.1
Dhaka,23.8103,90.4125,2024-01-09T06:00,19.0,331,13.4,1016.5
Dhaka,23.8103,90.4125,2024-01-09T07:00,20.5,332,14.1,1017.7
Dhaka,23.8103,90.4125,2024-01-09T08:00,21.7,333,15.4,1018.4
Dhaka,23.8103,90.4125,2024-01-09T09:00,14.7,335,17.5,1019.0
Dhaka,23.8103,90.4125,2024-01-09T10:00,11.1,335,19.7,1019.0
Dhaka,23.8103,90.4125,2024-01-09T11:00,14.2,336,21.7,1017.9
Dhaka,23.8103,90.4125,2024-01-09T12:00,13.4,340,22.8,1016.2
Dhaka,23.8103,90.4125,2024-01-09T13:00,10.5,338,23.6,1014.7
Dhaka,23.8103,90.4125,2024-01-09T14:00,8.7,322,24.0,1013.8
Dhaka,23.8103,90.4125,2024-01-09T15:00,9.5,307,24.1,1013.5
Dhaka,23.8103,90.4125,2024-01-09T16:00,11.3,301,23.5,1013.6
Dhaka,23.8103,90.4125,2024-01-09T17:00,13.8,298,21.2,1014.0
Dhaka,23.8103,90.4125,2024-01-09T18:00,16.3,301,18.6,1014.5
Dhaka,23.8103,90.4125,2024-01-09T19:00,17.2,296,16.7,1015.9
Dhaka,23.8103,90.4125,2024-01-09T20:00,15.8,300,15.6,1016.4
Dhaka,23.8103,90.4125,2024-01-09T21:00,13.5,316,14.7,1016.3
Dhaka,23.8103,90.4125,2024-01-09T22:00,14.4,323,14.2,1016.2
Dhaka,23.8103,90.4125,2024-01-09T23:00,15.6,320,14.0,1016.0
Dhaka,23.8103,90.4125,2024-01-10T00:00,18.8,313,14.0,1015.6
Dhaka,23.8103,90.4125,2024-01-10T01:00,22.1,316,14.4,1015.6
Dhaka,23.8103,90.4125,2024-01-10T02:00,21.5,325,14.2,1015.4
Dhaka,23.8103,90.4125,2024-01-10T03:00,19.5,335,13.5,1015.0
Dhaka,23.8103,90.4125,2024-01-10T04:00,17.3,337,12.3,1014.7
Dhaka,23.8103,90.4125,2024-01-10T05:00,16.6,338,11.8,1014.8
Dhaka,23.8103,90.4125,2024-01-10T06:00,15.2,346,11.7,1015.2
Dhaka,23.8103,90.4125,2024-01-10T07:00,10.5,354,12.4,1016.1
Dhaka,23.8103,90.4125,2024-01-10T08:00,8.4,7,14.5,1017.0
Dhaka,23.8103,90.4125,2024-01-10T09:00,6.8,18,16.7,1017.6
Dhaka,23.8103,90.4125,2024-01-10T10:00,4.7,23,19.0,1017.7
Dhaka,23.8103,90.4125,2024-01-10T11:00,4.7,356,20.7,1016.8
Dhaka,23.8103,90.4125,2024-01-10T12:00,5.9,313,22.0,1015.4
Dhaka,23.8103,90.4125,2024-01-10T13:00,7.1,311,22.9,1013.7
Dhaka,23.8103,90.4125,2024-01-10T14:00,7.4,299,23.5,1012.5
Dhaka,23.8103,90.4125,2024-01-10T15:00,7.9,286,23.7,1011.8
Dhaka,23.8103,90.4125,2024-01-10T16:00,6.9,276,23.3,1011.7
Dhaka,23.8103,90.4125,2024-01-10T17:00,8.6,270,21.0,1012.4
Dhaka,23.8103,90.4125,2024-01-10T18:00,13.1,261,18.4,1013.1
Dhaka,23.8103,90.4125,2024-01-10T19:00,11.5,311,16.4,1014.6
Dhaka,23.8103,90.4125,2024-01-10T20:00,11.5,321,15.7,1015.3
Dhaka,23.8103,90.4125,2024-01-10T21:00,9.9,341,15.3,1015.6
Dhaka,23.8103,90.4125,2024-01-10T22:00,11.3,351,15.0,1015.7
Dhaka,23.8103,90.4125,2024-01-10T23:00,14.2,353,15.1,1015.7
Dhaka,23.8103,90.4125,2024-01-11T00:00,15.8,360,14.8,1015.4
Dhaka,23.8103,90.4125,2024-01-11T01:00,14.0,360,14.2,1015.5
Dhaka,23.8103,90.4125,2024-01-11T02:00,11.2,358,13.6,1015.5
Dhaka,23.8103,90.4125,2024-01-11T03:00,9.1,351,13.3,1015.3
Dhaka,23.8103,90.4125,2024-01-11T04:00,8.1,339,12.9,1015.4
Dhaka,23.8103,90.4125,2024-01-11T05:00,7.2,333,12.8,1015.6
Dhaka,23.8103,90.4125,2024-01-11T06:00,8.2,337,12.3,1016.2
Dhaka,23.8103,90.4125,2024-01-11T07:00,13.1,344,12.7,1017.7
Dhaka,23.8103,90.4125,2024-01-11T08:00,11.5,340,14.4,1018.8
Dhaka,23.8103,90.4125,2024-01-11T09:00,10.6,332,16.9,1019.2
Dhaka,23.8103,90.4125,2024-01-11T10:00,8.9,328,19.2,1019.4
Dhaka,23.8103,90.4125,2024-01-11T11:00,11.1,324,20.8,1018.6
Dhaka,23.8103,90.4125,2024-01-11T12:00,12.7,315,21.8,1017.0
Dhaka,23.8103,90.4125,2024-01-11T13:00,14.0,314,22.4,1015.8
Dhaka,23.8103,90.4125,2024-01-11T14:00,14.0,314,22.7,1014.6
Dhaka,23.8103,90.4125,2024-01-11T15:00,13.2,315,22.5,1014.0
Dhaka,23.8103,90.4125,2024-01-11T16:00,12.5,311,22.0,1013.8
Dhaka,23.8103,90.4125,2024-01-11T17:00,13.7,305,19.7,1014.0
Dhaka,23.8103,90.4125,2024-01-11T18:00,15.0,305,17.0,1014.6
Dhaka,23.8103,90.4125,2024-01-11T19:00,18.3,328,16.0,1016.0
Dhaka,23.8103,90.4125,2024-01-11T20:00,16.5,340,15.0,1016.5
Dhaka,23.8103,90.4125,2024-01-11T21:00,13.8,351,13.9,1016.9
Dhaka,23.8103,90.4125,2024-01-11T22:00,13.3,358,13.3,1016.9
Dhaka,23.8103,90.4125,2024-01-11T23:00,13.0,355,12.7,1016.7
Dhaka,23.8103,90.4125,2024-01-12T00:00,13.3,347,12.3,1016.3
Dhaka,23.8103,90.4125,2024-01-12T01:00,12.6,333,11.8,1015.8
Dhaka,23.8103,90.4125,2024-01-12T02:00,13.8,327,11.4,1015.6
Dhaka,23.8103,90.4125,2024-01-12T03:00,14.7,324,11.1,1015.1
Dhaka,23.8103,90.4125,2024-01-12T04:00,17.0,328,11.3,1014.9
Dhaka,23.8103,90.4125,2024-01-12T05:00,17.4,326,11.3,1015.0
Dhaka,23.8103,90.4125,2024-01-12T06:00,16.6,326,11.0,1015.5
Dhaka,23.8103,90.4125,2024-01-12T07:00,16.3,325,11.6,1017.0
Dhaka,23.8103,90.4125,2024-01-12T08:00,13.0,318,12.7,1018.0
Dhaka,23.8103,90.4125,2024-01-12T09:00,13.2,325,14.8,1018.7
Dhaka,23.8103,90.4125,2024-01-12T10:00,12.8,328,16.8,1018.7
Dhaka,23.8103,90.4125,2024-01-12T11:00,14.3,332,18.8,1017.6
Dhaka,23.8103,90.4125,2024-01-12T12:00,14.8,337,20.2,1016.1
Dhaka,23.8103,90.4125,2024-01-12T13:00,12.9,333,21.1,1014.6
Dhaka,23.8103,90.4125,2024-01-12T14:00,12.3,328,21.7,1013.6
Dhaka,23.8103,90.4125,2024-01-12T15:00,12.2,326,21.8,1013.0
Dhaka,23.8103,90.4125,2024-01-12T16:00,12.8,320,21.5,1012.9
Dhaka,23.8103,90.4125,2024-01-12T17:00,15.6,310,19.9,1013.0
Dhaka,23.8103,90.4125,2024-01-12T18:00,19.2,308,17.6,1013.5
Dhaka,23.8103,90.4125,2024-01-12T19:00,20.3,335,14.9,1015.1
Dhaka,23.8103,90.4125,2024-01-12T20:00,22.0,339,14.5,1015.8
Dhaka,23.8103,90.4125,2024-01-12T21:00,22.8,342,14.2,1016.1
Dhaka,23.8103,90.4125,2024-01-12T22:00,22.7,345,13.8,1015.9
Dhaka,23.8103,90.4125,2024-01-12T23:00,21.8,347,13.4,1015.5
Dhaka,23.8103,90.4125,2024-01-13T00:00,20.6,341,12.9,1015.1
Dhaka,23.8103,90.4125,2024-01-13T01:00,18.7,337,12.3,1015.1
Dhaka,23.8103,90.4125,2024-01-13T02:00,17.9,332,11.9,1014.9
Dhaka,23.8103,90.4125,2024-01-13T03:00,18.7,332,12.1,1014.2
Dhaka,23.8103,90.4125,2024-01-13T04:00,18.7,332,12.1,1014.1
Dhaka,23.8103,90.4125,2024-01-13T05:00,19.9,328,12.2,1014.2
Dhaka,23.8103,90.4125,2024-01-13T06:00,20.5,322,12.3,1014.8
Dhaka,23.8103,90.4125,2024-01-13T07:00,19.2,322,12.6,1016.4
Dhaka,23.8103,90.4125,2024-01-13T08:00,20.0,321,13.9,1017.4
Dhaka,23.8103,90.4125,2024-01-13T09:00,12.9,324,15.6,1018.1
Dhaka,23.8103,90.4125,2024-01-13T10:00,12.2,336,17.6,1018.1
Dhaka,23.8103,90.4125,2024-01-13T11:00,12.8,338,19.2,1017.2
Dhaka,23.8103,90.4125,2024-01-13T12:00,11.4,342,20.5,1015.8
Dhaka,23.8103,90.4125,2024-01-13T13:00,9.7,338,21.4,1014.4
Dhaka,23.8103,90.4125,2024-01-13T14:00,9.3,332,22.0,1013.6
Dhaka,23.8103,90.4125,2024-01-13T15:00,10.2,328,22.2,1013.2
Dhaka,23.8103,90.4125,2024-01-13T16:00,10.0,330,22.0,1013.1
Dhaka,23.8103,90.4125,2024-01-13T17:00,10.7,327,19.8,1013.3
Dhaka,23.8103,90.4125,2024-01-13T18:00,11.8,337,16.9,1013.8
Dhaka,23.8103,90.4125,2024-01-13T19:00,9.1,342,15.5,1015.0
Dhaka,23.8103,90.4125,2024-01-13T20:00,13.6,338,14.4,1015.5
Dhaka,23.8103,90.4125,2024-01-13T21:00,16.6,338,14.2,1015.9
Dhaka,23.8103,90.4125,2024-01-13T22:00,18.3,350,14.1,1015.9
Dhaka,23.8103,90.4125,2024-01-13T23:00,18.2,351,13.8,1015.5
Dhaka,23.8103,90.4125,2024-01-14T00:00,17.2,349,13.1,1015.3
Dhaka,23.8103,90.4125,2024-01-14T01:00,17.5,352,12.7,1015.0
Dhaka,23.8103,90.4125,2024-01-14T02:00,18.2,352,12.5,1014.6
Dhaka,23.8103,90.4125,2024-01-14T03:00,17.4,353,12.1,1013.9
Dhaka,23.8103,90.4125,2024-01-14T04:00,17.9,351,12.1,1013.8
Dhaka,23.8103,90.4125,2024-01-14T05:00,17.6,349,11.8,1013.6
Dhaka,23.8103,90.4125,2024-01-14T06:00,15.0,350,10.8,1014.4
Dhaka,23.8103,90.4125,2024-01-14T07:00,10.9,8,11.9,1016.3
Dhaka,23.8103,90.4125,2024-01-14T08:00,7.5,17,12.6,1016.9
Dhaka,23.8103,90.4125,2024-01-14T09:00,4.2,20,13.9,1017.6
Dhaka,23.8103,90.4125,2024-01-14T10:00,3.7,11,16.1,1017.9
Dhaka,23.8103,90.4125,2024-01-14T11:00,3.4,18,18.4,1017.2
Dhaka,23.8103,90.4125,2024-01-14T12:00,1.5,14,19.7,1016.0
Dhaka,23.8103,90.4125,2024-01-14T13:00,1.5,76,20.6,1014.7
Dhaka,23.8103,90.4125,2024-01-14T14:00,1.5,104,21.2,1013.5
Dhaka,23.8103,90.4125,2024-01-14T15:00,1.1,162,21.4,1013.0
Dhaka,23.8103,90.4125,2024-01-14T16:00,1.1,162,21.2,1012.7
Dhaka,23.8103,90.4125,2024-01-14T17:00,2.8,220,19.6,1013.0
